,Year,quarter,miles_distance,daily_passengers,average_fare,DEP,ARR,ROUTE
142,2012,1,867,3040,156.69,BOS,ORD,BOSORD
143,2012,2,867,4670,175.88,BOS,ORD,BOSORD
144,2012,3,867,4944,175.13,BOS,ORD,BOSORD
145,2012,4,867,4158,186.19,BOS,ORD,BOSORD
146,2013,1,867,3030,168.48,BOS,ORD,BOSORD
147,2011,3,1562,1569,297.3,BOS,DFW,BOSDFW
148,2011,4,1562,1340,319.36,BOS,DFW,BOSDFW
149,2012,1,1562,1103,356.81,BOS,DFW,BOSDFW
150,2012,2,1562,1790,262.52,BOS,DFW,BOSDFW
151,2012,3,1562,1891,231.68,BOS,DFW,BOSDFW
152,2012,4,1562,1680,219.26,BOS,DFW,BOSDFW
153,2013,1,1562,1413,229.88,BOS,DFW,BOSDFW
154,2011,3,1754,1978,233.35,BOS,DEN,BOSDEN
155,2011,4,1754,1582,211.57,BOS,DEN,BOSDEN
156,2012,1,1754,1390,198.34,BOS,DEN,BOSDEN
157,2012,2,1754,1826,223.31,BOS,DEN,BOSDEN
158,2012,3,1754,2124,231.54,BOS,DEN,BOSDEN
159,2012,4,1754,1570,231.99,BOS,DEN,BOSDEN
160,2013,1,1754,1382,230.13,BOS,DEN,BOSDEN
161,2011,3,632,978,271.24,BOS,DTW,BOSDTW
162,2011,4,632,940,260.29,BOS,DTW,BOSDTW
163,2012,1,632,708,274.63,BOS,DTW,BOSDTW
164,2012,2,632,922,304.17,BOS,DTW,BOSDTW
165,2012,3,632,982,275.07,BOS,DTW,BOSDTW
166,2012,4,632,928,283.1,BOS,DTW,BOSDTW
167,2013,1,632,660,309.13,BOS,DTW,BOSDTW
168,2011,3,1609,1115,278.94,BOS,IAH,BOSIAH
169,2011,4,1609,942,288.48,BOS,IAH,BOSIAH
170,2012,1,1609,771,299.32,BOS,IAH,BOSIAH
171,2012,2,1609,1040,309.45,BOS,IAH,BOSIAH
172,2012,3,1609,1068,297.0,BOS,IAH,BOSIAH
173,2012,4,1609,1018,305.69,BOS,IAH,BOSIAH
174,2013,1,1609,817,313.7,BOS,IAH,BOSIAH
175,2011,3,2381,1464,247.0,BOS,LAS,BOSLAS
176,2011,4,2381,1294,250.65,BOS,LAS,BOSLAS
177,2012,1,2381,1301,247.44,BOS,LAS,BOSLAS
178,2012,2,2381,1625,263.22,BOS,LAS,BOSLAS
179,2012,3,2381,1304,252.61,BOS,LAS,BOSLAS
180,2012,4,2381,1284,242.82,BOS,LAS,BOSLAS
181,2013,1,2381,1281,250.88,BOS,LAS,BOSLAS
182,2011,3,2611,3522,301.57,BOS,LAX,BOSLAX
183,2011,4,2611,3076,282.77,BOS,LAX,BOSLAX
184,2012,1,2611,2693,264.59,BOS,LAX,BOSLAX
185,2012,2,2611,3524,307.64,BOS,LAX,BOSLAX
186,2012,3,2611,3638,304.98,BOS,LAX,BOSLAX
187,2012,4,2611,3278,288.78,BOS,LAX,BOSLAX
188,2013,1,2611,2702,279.87,BOS,LAX,BOSLAX
189,2011,3,1283,2722,166.25,BOS,MIA,BOSMIA
190,2011,4,1283,3085,187.39,BOS,MIA,BOSMIA
191,2012,1,1283,4046,199.99,BOS,MIA,BOSMIA
192,2012,2,1283,3323,201.18,BOS,MIA,BOSMIA
193,2012,3,1283,2625,180.76,BOS,MIA,BOSMIA
194,2012,4,1283,3313,191.74,BOS,MIA,BOSMIA
195,2013,1,1283,4185,197.89,BOS,MIA,BOSMIA
196,2011,3,1124,1461,244.29,BOS,MSP,BOSMSP
197,2011,4,1124,1125,261.41,BOS,MSP,BOSMSP
198,2012,1,1124,775,285.78,BOS,MSP,BOSMSP
199,2012,2,1124,1295,281.49,BOS,MSP,BOSMSP
200,2012,3,1124,1438,254.85,BOS,MSP,BOSMSP
201,2012,4,1124,1108,275.65,BOS,MSP,BOSMSP
202,2013,1,1124,783,290.16,BOS,MSP,BOSMSP
203,2011,3,209,3558,192.74,BOS,JFK,BOSJFK
204,2011,3,209,3558,192.74,BOS,LGA,BOSLGA
205,2011,3,209,3558,192.74,BOS,EWR,BOSEWR
206,2011,4,209,3671,190.77,BOS,JFK,BOSJFK
207,2011,4,209,3671,190.77,BOS,LGA,BOSLGA
208,2011,4,209,3671,190.77,BOS,EWR,BOSEWR
209,2012,1,209,3300,194.98,BOS,JFK,BOSJFK
210,2012,1,209,3300,194.98,BOS,LGA,BOSLGA
211,2012,1,209,3300,194.98,BOS,EWR,BOSEWR
212,2012,2,209,3883,201.31,BOS,JFK,BOSJFK
213,2012,2,209,3883,201.31,BOS,LGA,BOSLGA
214,2012,2,209,3883,201.31,BOS,EWR,BOSEWR
215,2012,3,209,3573,191.49,BOS,JFK,BOSJFK
216,2012,3,209,3573,191.49,BOS,LGA,BOSLGA
217,2012,3,209,3573,191.49,BOS,EWR,BOSEWR
218,2012,4,209,3680,184.31,BOS,JFK,BOSJFK
219,2012,4,209,3680,184.31,BOS,LGA,BOSLGA
220,2012,4,209,3680,184.31,BOS,EWR,BOSEWR
221,2013,1,209,3350,193.27,BOS,JFK,BOSJFK
222,2013,1,209,3350,193.27,BOS,LGA,BOSLGA
223,2013,1,209,3350,193.27,BOS,EWR,BOSEWR
224,2011,3,1142,3654,147.78,BOS,MCO,BOSMCO
225,2011,4,1142,3961,168.78,BOS,MCO,BOSMCO
226,2012,1,1142,4314,179.97,BOS,MCO,BOSMCO
227,2012,2,1142,4396,186.12,BOS,MCO,BOSMCO
228,2012,3,1142,3403,163.49,BOS,MCO,BOSMCO
229,2012,4,1142,4043,168.38,BOS,MCO,BOSMCO
230,2013,1,1142,4838,164.15,BOS,MCO,BOSMCO
231,2011,3,289,2470,133.44,BOS,PHL,BOSPHL
232,2011,4,289,2659,126.75,BOS,PHL,BOSPHL
233,2012,1,289,1847,191.46,BOS,PHL,BOSPHL
234,2012,2,289,1752,252.35,BOS,PHL,BOSPHL
235,2012,3,289,1543,254.01,BOS,PHL,BOSPHL
236,2012,4,289,1538,256.72,BOS,PHL,BOSPHL
237,2013,1,289,1341,281.64,BOS,PHL,BOSPHL
238,2011,3,2300,1173,215.21,BOS,PHX,BOSPHX
239,2011,4,2300,1246,225.01,BOS,PHX,BOSPHX
