,ORIGIN,DEST,AIR_TIME_MEAN,ROUTE
252,MCO,ORD,7792.38,MCOORD
253,MCO,PHL,4905.23,MCOPHL
254,MCO,PHX,8465.46,MCOPHX
255,MCO,SEA,12977.46,MCOSEA
256,MCO,SFO,5295.26,MCOSFO
257,MIA,ATL,3277.53,MIAATL
258,MIA,BOS,14069.86,MIABOS
259,MIA,CLT,5537.14,MIACLT
260,MIA,DEN,5211.35,MIADEN
261,MIA,DFW,10435.7,MIADFW
262,MIA,DTW,4136.16,MIADTW
263,MIA,EWR,4358.14,MIAEWR
264,MIA,IAH,4341.16,MIAIAH
265,MIA,JFK,4972.47,MIAJFK
266,MIA,LAS,12565.64,MIALAS
267,MIA,LAX,11802.93,MIALAX
268,MIA,LGA,11949.1,MIALGA
269,MIA,MCO,1715.12,MIAMCO
270,MIA,MIA,53.59,MIAMIA
271,MIA,MSP,3379.48,MIAMSP
272,MIA,ORD,6671.14,MIAORD
273,MIA,PHL,5642.59,MIAPHL
274,MIA,PHX,8044.17,MIAPHX
275,MIA,SEA,10988.75,MIASEA
276,MIA,SFO,15742.7,MIASFO
277,MSP,ATL,4729.31,MSPATL
278,MSP,BOS,3192.16,MSPBOS
279,MSP,CLT,2784.03,MSPCLT
280,MSP,DEN,3032.81,MSPDEN
281,MSP,DFW,3817.69,MSPDFW
282,MSP,DTW,1632.62,MSPDTW
283,MSP,EWR,4697.3,MSPEWR
284,MSP,IAH,3098.06,MSPIAH
285,MSP,JFK,2906.55,MSPJFK
286,MSP,LAS,5438.25,MSPLAS
287,MSP,LAX,5650.52,MSPLAX
288,MSP,LGA,5842.31,MSPLGA
289,MSP,MCO,3580.48,MSPMCO
290,MSP,MIA,3098.02,MSPMIA
291,MSP,MSP,41.25,MSPMSP
292,MSP,ORD,2003.07,MSPORD
293,MSP,PHL,2550.0,MSPPHL
294,MSP,PHX,5076.57,MSPPHX
295,MSP,SEA,4748.17,MSPSEA
296,MSP,SFO,5075.28,MSPSFO
297,ORD,ATL,3267.48,ORDATL
298,ORD,BOS,6996.32,ORDBOS
299,ORD,CLT,3580.67,ORDCLT
300,ORD,DEN,5029.58,ORDDEN
301,ORD,DFW,7560.62,ORDDFW
302,ORD,DTW,1156.05,ORDDTW
303,ORD,EWR,3759.2,ORDEWR
304,ORD,IAH,6127.69,ORDIAH
305,ORD,JFK,2009.54,ORDJFK
306,ORD,LAS,11887.72,ORDLAS
307,ORD,LAX,13289.71,ORDLAX
308,ORD,LGA,12405.7,ORDLGA
309,ORD,MCO,6163.96,ORDMCO
310,ORD,MIA,5623.8,ORDMIA
311,ORD,MSP,2269.2,ORDMSP
312,ORD,ORD,49.35,ORDORD
313,ORD,PHL,3649.02,ORDPHL
314,ORD,PHX,10309.66,ORDPHX
315,ORD,SEA,13373.59,ORDSEA
316,ORD,SFO,15210.38,ORDSFO
317,PHL,ATL,3820.72,PHLATL
318,PHL,BOS,2696.25,PHLBOS
319,PHL,CLT,1878.5,PHLCLT
320,PHL,DEN,6080.92,PHLDEN
321,PHL,DFW,9167.08,PHLDFW
322,PHL,DTW,1945.33,PHLDTW
323,PHL,EWR,852.48,PHLEWR
324,PHL,IAH,7239.95,PHLIAH
325,PHL,JFK,166.52,PHLJFK
326,PHL,LAS,14702.34,PHLLAS
327,PHL,LAX,14342.67,PHLLAX
328,PHL,LGA,1372.72,PHLLGA
329,PHL,MCO,5022.06,PHLMCO
330,PHL,MIA,5392.6,PHLMIA
331,PHL,MSP,2926.85,PHLMSP
332,PHL,ORD,4371.72,PHLORD
333,PHL,PHL,104.33,PHLPHL
334,PHL,PHX,13677.53,PHLPHX
335,PHL,SEA,10293.07,PHLSEA
336,PHL,SFO,13065.14,PHLSFO
337,PHX,ATL,8099.97,PHXATL
338,PHX,BOS,9709.22,PHXBOS
339,PHX,CLT,12776.34,PHXCLT
340,PHX,DEN,3421.3,PHXDEN
341,PHX,DFW,6922.93,PHXDFW
342,PHX,DTW,5936.78,PHXDTW
343,PHX,EWR,9111.8,PHXEWR
344,PHX,IAH,5085.39,PHXIAH
345,PHX,JFK,9760.76,PHXJFK
346,PHX,LAS,2882.24,PHXLAS
347,PHX,LAX,2971.01,PHXLAX
348,PHX,LGA,252.0,PHXLGA
349,PHX,MCO,7116.51,PHXMCO
350,PHX,MIA,6139.31,PHXMIA
351,PHX,MSP,4395.33,PHXMSP
352,PHX,ORD,8894.0,PHXORD
353,PHX,PHL,10420.94,PHXPHL
354,PHX,PHX,36.5,PHXPHX
355,PHX,SEA,6801.19,PHXSEA
356,PHX,SFO,3469.02,PHXSFO
357,SEA,ATL,9783.18,SEAATL
358,SEA,BOS,10417.04,SEABOS
359,SEA,CLT,6886.62,SEACLT
