,Year,quarter,Departure,Arrival,miles_distance,daily_passengers,average_fare,DEP,ARR
82,2013,3,"Atlanta, GA (Metropolitan Area)","Houston, TX",696,1477,233.93,ATL,IAH
83,2013,4,"Atlanta, GA (Metropolitan Area)","Houston, TX",696,1884,197.08,ATL,IAH
84,2011,1,"Atlanta, GA (Metropolitan Area)","Las Vegas, NV",1747,1380,228.25,ATL,LAS
85,2011,2,"Atlanta, GA (Metropolitan Area)","Las Vegas, NV",1747,1455,237.43,ATL,LAS
86,2011,3,"Atlanta, GA (Metropolitan Area)","Las Vegas, NV",1747,1274,230.24,ATL,LAS
87,2011,4,"Atlanta, GA (Metropolitan Area)","Las Vegas, NV",1747,1274,239.82,ATL,LAS
88,2012,1,"Atlanta, GA (Metropolitan Area)","Las Vegas, NV",1747,1414,241.58,ATL,LAS
89,2012,2,"Atlanta, GA (Metropolitan Area)","Las Vegas, NV",1747,1519,234.42,ATL,LAS
90,2012,3,"Atlanta, GA (Metropolitan Area)","Las Vegas, NV",1747,1237,237.96,ATL,LAS
91,2012,4,"Atlanta, GA (Metropolitan Area)","Las Vegas, NV",1747,1236,240.79,ATL,LAS
92,2013,1,"Atlanta, GA (Metropolitan Area)","Las Vegas, NV",1747,1363,246.87,ATL,LAS
93,2013,2,"Atlanta, GA (Metropolitan Area)","Las Vegas, NV",1747,1504,247.33,ATL,LAS
94,2013,3,"Atlanta, GA (Metropolitan Area)","Las Vegas, NV",1747,1286,253.42,ATL,LAS
95,2013,4,"Atlanta, GA (Metropolitan Area)","Las Vegas, NV",1747,1416,242.74,ATL,LAS
96,2011,1,"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",1946,2331,242.78,ATL,LAX
97,2011,2,"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",1946,2993,237.91,ATL,LAX
98,2011,3,"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",1946,2761,250.1,ATL,LAX
99,2011,4,"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",1947,2667,256.13,ATL,LAX
