,Date,U.S. Gulf Coast Kerosene-Type Jet Fuel Spot Price FOB (Dollars per Gallon)
279,2012-10-10,"3,211"
280,2012-10-11,"3,25"
281,2012-10-12,"3,208"
282,2012-10-15,"3,187"
283,2012-10-16,"3,162"
284,2012-10-17,"3,157"
285,2012-10-18,"3,162"
286,2012-10-19,"3,096"
287,2012-10-22,"3,028"
288,2012-10-23,"2,999"
289,2012-10-24,"2,995"
290,2012-10-25,"3,013"
291,2012-10-26,"3,041"
292,2012-10-29,"3,017"
293,2012-10-30,"2,975"
294,2012-10-31,"2,961"
295,2012-11-01,"2,938"
296,2012-11-02,"2,865"
297,2012-11-05,"2,888"
298,2012-11-06,"2,947"
299,2012-11-07,"2,9"
300,2012-11-08,"2,891"
301,2012-11-09,"2,942"
302,2012-11-12,"2,936"
303,2012-11-13,"2,892"
304,2012-11-14,"2,94"
305,2012-11-15,"2,914"
306,2012-11-16,"2,934"
307,2012-11-19,"3,052"
308,2012-11-20,"3,015"
309,2012-11-21,"3,046"
310,2012-11-23,"3,042"
311,2012-11-26,"3,018"
312,2012-11-27,"2,995"
313,2012-11-28,"2,975"
314,2012-11-29,"3,012"
315,2012-11-30,"3,015"
316,2012-12-03,3
317,2012-12-04,"2,945"
318,2012-12-05,"2,943"
319,2012-12-06,"2,901"
320,2012-12-07,"2,849"
321,2012-12-10,"2,859"
322,2012-12-11,"2,872"
323,2012-12-12,"2,908"
324,2012-12-13,"2,876"
325,2012-12-14,"2,901"
326,2012-12-17,"2,871"
327,2012-12-18,"2,9"
328,2012-12-19,"2,929"
329,2012-12-20,"2,977"
330,2012-12-21,"3,017"
331,2012-12-24,"2,997"
332,2012-12-26,"3,034"
333,2012-12-27,"3,056"
334,2012-12-28,"2,974"
335,2012-12-31,"2,984"
336,2013-01-02,"2,993"
337,2013-01-03,"2,994"
338,2013-01-04,"2,991"
339,2013-01-07,"3,033"
340,2013-01-08,"3,088"
341,2013-01-09,"3,083"
342,2013-01-10,"3,065"
343,2013-01-11,"3,058"
344,2013-01-14,"3,131"
345,2013-01-15,"3,095"
346,2013-01-16,"3,059"
347,2013-01-17,"3,072"
