,Year,quarter,Departure,Arrival,miles_distance,daily_passengers,average_fare,DEP,ARR
103,2012,4,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,6536,194.28,ATL,JFK
104,2012,4,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,6536,194.28,ATL,LGA
105,2012,4,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,6536,194.28,ATL,EWR
106,2013,1,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,5447,197.2,ATL,JFK
107,2013,1,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,5447,197.2,ATL,LGA
108,2013,1,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,5447,197.2,ATL,EWR
109,2013,2,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,6867,210.65,ATL,JFK
110,2013,2,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,6867,210.65,ATL,LGA
111,2013,2,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,6867,210.65,ATL,EWR
112,2011,3,"Atlanta, GA (Metropolitan Area)","Orlando, FL",404,1306,160.58,ATL,MCO
113,2011,4,"Atlanta, GA (Metropolitan Area)","Orlando, FL",404,1368,167.32,ATL,MCO
114,2012,1,"Atlanta, GA (Metropolitan Area)","Orlando, FL",404,1488,186.2,ATL,MCO
115,2012,2,"Atlanta, GA (Metropolitan Area)","Orlando, FL",404,1554,154.71,ATL,MCO
116,2012,3,"Atlanta, GA (Metropolitan Area)","Orlando, FL",404,1365,142.11,ATL,MCO
117,2012,4,"Atlanta, GA (Metropolitan Area)","Orlando, FL",404,1622,147.71,ATL,MCO
118,2013,1,"Atlanta, GA (Metropolitan Area)","Orlando, FL",404,1687,157.68,ATL,MCO
119,2013,2,"Atlanta, GA (Metropolitan Area)","Orlando, FL",404,1844,150.2,ATL,MCO
120,2011,3,"Atlanta, GA (Metropolitan Area)","Philadelphia, PA",666,2066,174.92,ATL,PHL
121,2011,4,"Atlanta, GA (Metropolitan Area)","Philadelphia, PA",666,1876,191.17,ATL,PHL
122,2012,1,"Atlanta, GA (Metropolitan Area)","Philadelphia, PA",666,1564,209.58,ATL,PHL
123,2012,2,"Atlanta, GA (Metropolitan Area)","Philadelphia, PA",666,2014,182.78,ATL,PHL
124,2012,3,"Atlanta, GA (Metropolitan Area)","Philadelphia, PA",666,1959,170.34,ATL,PHL
125,2012,4,"Atlanta, GA (Metropolitan Area)","Philadelphia, PA",666,1838,186.63,ATL,PHL
126,2013,1,"Atlanta, GA (Metropolitan Area)","Philadelphia, PA",666,1471,206.53,ATL,PHL
127,2013,2,"Atlanta, GA (Metropolitan Area)","Philadelphia, PA",666,1847,216.97,ATL,PHL
128,2011,3,"Atlanta, GA (Metropolitan Area)","Phoenix, AZ",1587,863,190.23,ATL,PHX
129,2011,4,"Atlanta, GA (Metropolitan Area)","Phoenix, AZ",1587,973,215.89,ATL,PHX
130,2012,1,"Atlanta, GA (Metropolitan Area)","Phoenix, AZ",1587,935,221.41,ATL,PHX
131,2012,2,"Atlanta, GA (Metropolitan Area)","Phoenix, AZ",1587,1055,205.58,ATL,PHX
132,2012,3,"Atlanta, GA (Metropolitan Area)","Phoenix, AZ",1587,842,193.78,ATL,PHX
133,2012,4,"Atlanta, GA (Metropolitan Area)","Phoenix, AZ",1587,1025,216.89,ATL,PHX
134,2013,1,"Atlanta, GA (Metropolitan Area)","Phoenix, AZ",1587,901,235.26,ATL,PHX
135,2013,2,"Atlanta, GA (Metropolitan Area)","Phoenix, AZ",1587,978,244.46,ATL,PHX
136,2011,3,"Atlanta, GA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2139,1677,275.6,ATL,SFO
137,2011,4,"Atlanta, GA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2139,1581,286.55,ATL,SFO
138,2012,1,"Atlanta, GA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2139,1313,289.93,ATL,SFO
139,2012,2,"Atlanta, GA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2139,1674,301.21,ATL,SFO
140,2012,3,"Atlanta, GA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2139,1767,276.76,ATL,SFO
141,2012,4,"Atlanta, GA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2139,1831,271.31,ATL,SFO
142,2013,1,"Atlanta, GA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2139,1427,295.07,ATL,SFO
143,2013,2,"Atlanta, GA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2139,1840,308.49,ATL,SFO
144,2011,3,"Atlanta, GA (Metropolitan Area)","Seattle, WA",2182,1136,261.18,ATL,SEA
145,2011,4,"Atlanta, GA (Metropolitan Area)","Seattle, WA",2182,804,282.92,ATL,SEA
146,2012,1,"Atlanta, GA (Metropolitan Area)","Seattle, WA",2182,626,310.19,ATL,SEA
147,2012,2,"Atlanta, GA (Metropolitan Area)","Seattle, WA",2182,1030,276.3,ATL,SEA
148,2012,3,"Atlanta, GA (Metropolitan Area)","Seattle, WA",2182,1169,273.22,ATL,SEA
149,2012,4,"Atlanta, GA (Metropolitan Area)","Seattle, WA",2182,846,291.29,ATL,SEA
150,2013,1,"Atlanta, GA (Metropolitan Area)","Seattle, WA",2182,701,294.75,ATL,SEA
151,2013,2,"Atlanta, GA (Metropolitan Area)","Seattle, WA",2182,998,286.58,ATL,SEA
152,2011,3,"Boston, MA (Metropolitan Area)","Charlotte, NC",737,1701,146.93,BOS,CLT
153,2011,4,"Boston, MA (Metropolitan Area)","Charlotte, NC",737,1538,150.42,BOS,CLT
154,2012,1,"Boston, MA (Metropolitan Area)","Charlotte, NC",737,1141,151.39,BOS,CLT
155,2012,2,"Boston, MA (Metropolitan Area)","Charlotte, NC",737,1703,167.08,BOS,CLT
156,2012,3,"Boston, MA (Metropolitan Area)","Charlotte, NC",737,1707,159.3,BOS,CLT
157,2012,4,"Boston, MA (Metropolitan Area)","Charlotte, NC",737,1578,151.78,BOS,CLT
158,2013,1,"Boston, MA (Metropolitan Area)","Charlotte, NC",737,1301,144.84,BOS,CLT
159,2013,2,"Boston, MA (Metropolitan Area)","Charlotte, NC",737,1811,148.87,BOS,CLT
160,2011,3,"Boston, MA (Metropolitan Area)","Chicago, IL",867,4534,176.17,BOS,ORD
161,2011,4,"Boston, MA (Metropolitan Area)","Chicago, IL",867,4159,172.83,BOS,ORD
162,2012,1,"Boston, MA (Metropolitan Area)","Chicago, IL",867,3040,156.69,BOS,ORD
163,2012,2,"Boston, MA (Metropolitan Area)","Chicago, IL",867,4670,175.88,BOS,ORD
164,2012,3,"Boston, MA (Metropolitan Area)","Chicago, IL",867,4944,175.13,BOS,ORD
165,2012,4,"Boston, MA (Metropolitan Area)","Chicago, IL",867,4158,186.19,BOS,ORD
166,2013,1,"Boston, MA (Metropolitan Area)","Chicago, IL",867,3030,168.48,BOS,ORD
167,2013,2,"Boston, MA (Metropolitan Area)","Chicago, IL",867,4668,179.89,BOS,ORD
168,2011,3,"Boston, MA (Metropolitan Area)","Dallas/Fort Worth, TX",1562,1569,297.3,BOS,DFW
169,2011,4,"Boston, MA (Metropolitan Area)","Dallas/Fort Worth, TX",1562,1340,319.36,BOS,DFW
170,2012,1,"Boston, MA (Metropolitan Area)","Dallas/Fort Worth, TX",1562,1103,356.81,BOS,DFW
171,2012,2,"Boston, MA (Metropolitan Area)","Dallas/Fort Worth, TX",1562,1790,262.52,BOS,DFW
172,2012,3,"Boston, MA (Metropolitan Area)","Dallas/Fort Worth, TX",1562,1891,231.68,BOS,DFW
173,2012,4,"Boston, MA (Metropolitan Area)","Dallas/Fort Worth, TX",1562,1680,219.26,BOS,DFW
174,2013,1,"Boston, MA (Metropolitan Area)","Dallas/Fort Worth, TX",1562,1413,229.88,BOS,DFW
175,2013,2,"Boston, MA (Metropolitan Area)","Dallas/Fort Worth, TX",1562,1953,216.6,BOS,DFW
176,2011,3,"Boston, MA (Metropolitan Area)","Denver, CO",1754,1978,233.35,BOS,DEN
177,2011,4,"Boston, MA (Metropolitan Area)","Denver, CO",1754,1582,211.57,BOS,DEN
178,2012,1,"Boston, MA (Metropolitan Area)","Denver, CO",1754,1390,198.34,BOS,DEN
179,2012,2,"Boston, MA (Metropolitan Area)","Denver, CO",1754,1826,223.31,BOS,DEN
180,2012,3,"Boston, MA (Metropolitan Area)","Denver, CO",1754,2124,231.54,BOS,DEN
181,2012,4,"Boston, MA (Metropolitan Area)","Denver, CO",1754,1570,231.99,BOS,DEN
182,2013,1,"Boston, MA (Metropolitan Area)","Denver, CO",1754,1382,230.13,BOS,DEN
183,2013,2,"Boston, MA (Metropolitan Area)","Denver, CO",1754,1714,239.31,BOS,DEN
184,2011,3,"Boston, MA (Metropolitan Area)","Detroit, MI",632,978,271.24,BOS,DTW
185,2011,4,"Boston, MA (Metropolitan Area)","Detroit, MI",632,940,260.29,BOS,DTW
186,2012,1,"Boston, MA (Metropolitan Area)","Detroit, MI",632,708,274.63,BOS,DTW
187,2012,2,"Boston, MA (Metropolitan Area)","Detroit, MI",632,922,304.17,BOS,DTW
188,2012,3,"Boston, MA (Metropolitan Area)","Detroit, MI",632,982,275.07,BOS,DTW
189,2012,4,"Boston, MA (Metropolitan Area)","Detroit, MI",632,928,283.1,BOS,DTW
190,2013,1,"Boston, MA (Metropolitan Area)","Detroit, MI",632,660,309.13,BOS,DTW
191,2013,2,"Boston, MA (Metropolitan Area)","Detroit, MI",632,961,297.1,BOS,DTW
192,2011,3,"Boston, MA (Metropolitan Area)","Houston, TX",1609,1115,278.94,BOS,IAH
193,2011,4,"Boston, MA (Metropolitan Area)","Houston, TX",1609,942,288.48,BOS,IAH
194,2012,1,"Boston, MA (Metropolitan Area)","Houston, TX",1609,771,299.32,BOS,IAH
195,2012,2,"Boston, MA (Metropolitan Area)","Houston, TX",1609,1040,309.45,BOS,IAH
196,2012,3,"Boston, MA (Metropolitan Area)","Houston, TX",1609,1068,297.0,BOS,IAH
197,2012,4,"Boston, MA (Metropolitan Area)","Houston, TX",1609,1018,305.69,BOS,IAH
198,2013,1,"Boston, MA (Metropolitan Area)","Houston, TX",1609,817,313.7,BOS,IAH
199,2013,2,"Boston, MA (Metropolitan Area)","Houston, TX",1609,1124,290.04,BOS,IAH
