,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,AIR_TIME_MEAN
126,EWR,"Newark, NJ",JFK,"New York, NY",35.62
127,EWR,"Newark, NJ",LAS,"Las Vegas, NV",11609.6
128,EWR,"Newark, NJ",LAX,"Los Angeles, CA",8988.93
129,EWR,"Newark, NJ",LGA,"New York, NY",16.18
130,EWR,"Newark, NJ",MCO,"Orlando, FL",6391.56
131,EWR,"Newark, NJ",MIA,"Miami, FL",3984.69
132,EWR,"Newark, NJ",MSP,"Minneapolis, MN",5520.51
133,EWR,"Newark, NJ",ORD,"Chicago, IL",4803.87
134,EWR,"Newark, NJ",PHL,"Philadelphia, PA",1569.85
135,EWR,"Newark, NJ",PHX,"Phoenix, AZ",11515.64
136,EWR,"Newark, NJ",SEA,"Seattle, WA",12241.79
137,EWR,"Newark, NJ",SFO,"San Francisco, CA",10747.86
138,IAH,"Houston, TX",ATL,"Atlanta, GA",2853.15
139,IAH,"Houston, TX",BOS,"Boston, MA",7035.56
140,IAH,"Houston, TX",CLT,"Charlotte, NC",5271.61
141,IAH,"Houston, TX",DEN,"Denver, CO",3425.35
142,IAH,"Houston, TX",DFW,"Dallas/Fort Worth, TX",1528.06
143,IAH,"Houston, TX",DTW,"Detroit, MI",3682.01
144,IAH,"Houston, TX",EWR,"Newark, NJ",6003.93
145,IAH,"Houston, TX",IAH,"Houston, TX",67.77
146,IAH,"Houston, TX",JFK,"New York, NY",1678.85
147,IAH,"Houston, TX",LAS,"Las Vegas, NV",8563.02
148,IAH,"Houston, TX",LAX,"Los Angeles, CA",9739.77
149,IAH,"Houston, TX",LGA,"New York, NY",13002.43
150,IAH,"Houston, TX",MCO,"Orlando, FL",2546.76
151,IAH,"Houston, TX",MIA,"Miami, FL",3910.19
152,IAH,"Houston, TX",MSP,"Minneapolis, MN",3570.81
153,IAH,"Houston, TX",ORD,"Chicago, IL",5167.16
154,IAH,"Houston, TX",PHL,"Philadelphia, PA",6487.18
155,IAH,"Houston, TX",PHX,"Phoenix, AZ",5362.22
156,IAH,"Houston, TX",SEA,"Seattle, WA",12213.28
157,IAH,"Houston, TX",SFO,"San Francisco, CA",7152.83
158,JFK,"New York, NY",ATL,"Atlanta, GA",2531.23
159,JFK,"New York, NY",BOS,"Boston, MA",1893.51
160,JFK,"New York, NY",CLT,"Charlotte, NC",3449.72
161,JFK,"New York, NY",DEN,"Denver, CO",4302.0
162,JFK,"New York, NY",DFW,"Dallas/Fort Worth, TX",3294.06
163,JFK,"New York, NY",DTW,"Detroit, MI",1475.91
164,JFK,"New York, NY",EWR,"Newark, NJ",20.0
165,JFK,"New York, NY",IAH,"Houston, TX",1608.97
166,JFK,"New York, NY",JFK,"New York, NY",43.5
167,JFK,"New York, NY",LAS,"Las Vegas, NV",15697.51
168,JFK,"New York, NY",LAX,"Los Angeles, CA",43059.67
169,JFK,"New York, NY",LGA,"New York, NY",26.0
170,JFK,"New York, NY",MCO,"Orlando, FL",8513.69
171,JFK,"New York, NY",MIA,"Miami, FL",5183.95
172,JFK,"New York, NY",MSP,"Minneapolis, MN",3087.98
173,JFK,"New York, NY",ORD,"Chicago, IL",3102.96
174,JFK,"New York, NY",PHL,"Philadelphia, PA",465.0
175,JFK,"New York, NY",PHX,"Phoenix, AZ",11337.3
176,JFK,"New York, NY",SEA,"Seattle, WA",10988.67
177,JFK,"New York, NY",SFO,"San Francisco, CA",23600.46
178,LAS,"Las Vegas, NV",ATL,"Atlanta, GA",11945.96
179,LAS,"Las Vegas, NV",BOS,"Boston, MA",7109.58
180,LAS,"Las Vegas, NV",CLT,"Charlotte, NC",12182.19
